symbol,date,entry_price,exit_date,exit_price,return,is_complete,in_optimal_zone,prev_weekly_red,prev_weekly_large_bottom_wick,prev_atr_declining,vol_spike,sector
UNH,2025-05-16 04:00:00,291.91,2026-01-09 05:00:00,345.09,0.18217943886814414,False,True,True,False,True,True,Health
UNH,2025-05-19 04:00:00,315.89,2026-01-09 05:00:00,345.09,0.09243724081167493,False,True,True,False,True,True,Health
UNH,2025-05-21 04:00:00,302.98,2026-01-09 05:00:00,345.09,0.13898607168790011,False,True,True,False,True,False,Health
UNH,2025-05-22 04:00:00,296.67,2026-01-09 05:00:00,345.09,0.16321164930731102,False,True,True,False,True,False,Health
UNH,2025-05-23 04:00:00,295.57,2026-01-09 05:00:00,345.09,0.1675406841019047,False,True,True,False,True,False,Health
UNH,2025-05-27 04:00:00,295.0,2026-01-09 05:00:00,345.09,0.16979661016949144,False,True,True,True,False,False,Health
UNH,2025-05-28 04:00:00,298.11,2026-01-09 05:00:00,345.09,0.1575928348596154,False,True,True,True,False,False,Health
UNH,2025-05-29 04:00:00,298.17,2026-01-09 05:00:00,345.09,0.15735989536170636,False,True,True,True,False,False,Health
UNH,2025-06-05 04:00:00,295.84,2026-01-09 05:00:00,345.09,0.16647512168739853,False,True,True,False,True,False,Health
UNH,2025-07-29 04:00:00,261.07,2026-01-09 05:00:00,345.09,0.3218293944152908,False,True,True,False,True,True,Health
UNH,2025-07-31 04:00:00,249.56,2026-01-09 05:00:00,345.09,0.3827937169418174,False,True,True,False,True,False,Health
UNH,2025-08-01 04:00:00,237.77,2026-01-09 05:00:00,345.09,0.4513605585229421,False,True,True,False,True,True,Health
UNH,2025-08-04 04:00:00,240.98,2026-01-09 05:00:00,345.09,0.4320275541538716,False,True,True,False,True,False,Health
UNH,2025-11-06 05:00:00,321.56,2026-01-09 05:00:00,345.09,0.0731745241945514,False,False,False,False,True,False,Health
NFLX,2025-12-10 05:00:00,92.71,2026-01-09 05:00:00,88.885,-0.04125768525509643,False,False,False,False,True,False,Comm
NFLX,2025-12-11 05:00:00,94.09,2026-01-09 05:00:00,88.885,-0.0553193750664257,False,False,False,False,True,False,Comm
NFLX,2026-01-02 05:00:00,90.99,2026-01-09 05:00:00,88.885,-0.02313441037476638,False,False,True,False,True,False,Comm
NFLX,2026-01-06 05:00:00,90.65,2026-01-09 05:00:00,88.885,-0.019470490899062387,False,False,True,True,True,False,Comm
NFLX,2026-01-07 05:00:00,90.73,2026-01-09 05:00:00,88.885,-0.02033506006833463,False,False,True,True,True,False,Comm
NFLX,2026-01-08 05:00:00,90.53,2026-01-09 05:00:00,88.885,-0.018170772119739276,False,False,True,True,True,False,Comm
NFLX,2026-01-09 05:00:00,88.885,2026-01-09 05:00:00,88.885,0.0,False,False,True,True,True,False,Comm
CRM,2025-02-27 05:00:00,294.9,2026-01-09 05:00:00,259.665,-0.11948118006103747,False,False,True,True,True,True,Tech
CRM,2025-03-03 05:00:00,293.06,2026-01-09 05:00:00,259.665,-0.11395277417593663,False,False,True,False,False,False,Tech
CRM,2025-03-04 05:00:00,287.34,2026-01-09 05:00:00,259.665,-0.09631447066193344,False,False,True,False,False,False,Tech
CRM,2025-03-06 05:00:00,286.05,2026-01-09 05:00:00,259.665,-0.09223911903513371,False,False,True,False,False,False,Tech
CRM,2025-03-07 05:00:00,282.89,2026-01-09 05:00:00,259.665,-0.08209904910035692,False,False,True,False,False,False,Tech
CRM,2025-03-10 04:00:00,272.9,2026-01-09 05:00:00,259.665,-0.04849761817515563,False,False,True,False,False,False,Tech
CRM,2025-03-11 04:00:00,277.05,2026-01-09 05:00:00,259.665,-0.06275040606388738,False,False,True,False,False,False,Tech
CRM,2025-03-13 04:00:00,271.74,2026-01-09 05:00:00,259.665,-0.04443585780525494,False,False,True,False,False,False,Tech
CRM,2025-04-03 04:00:00,255.23,2026-01-09 05:00:00,259.665,0.01737648395564806,False,False,False,True,True,False,Tech
CRM,2025-04-04 04:00:00,240.76,2026-01-09 05:00:00,259.665,0.07852217976408049,False,False,False,True,True,False,Tech
CRM,2025-04-07 04:00:00,244.21,2026-01-09 05:00:00,259.665,0.06328569673641549,False,False,True,False,False,False,Tech
CRM,2025-04-08 04:00:00,243.99,2026-01-09 05:00:00,259.665,0.0642444362473873,False,False,True,False,False,False,Tech
CRM,2025-08-07 04:00:00,240.88,2026-01-09 05:00:00,259.665,0.07798488874128218,False,False,False,False,True,False,Tech
